MEDIUM,FABRIC,TECHNIQUE,FORM,SUB-FORM,START_DATE,END_DATE,PAINTER,POTTER,SUBJECT_ADDITIONAL,LOCATION_COUNTRY,LOCATION_CITY,COLLECTION_NAME,COLLECTION_ID,PROVENIENCE,TRENDALL_ID,IMAGE_SERIES,SCENE_TYPE_A,MUSICAL_SCENE_TYPE_A,TRENDALL_DESCRIPTION_A,SIDE_A_DETAILS,SIDE_A_INSTRUMENTS_AND_NUMBERS,SIDE_A_PERFORMERS,SIDE_A_PERFORMER_LOCATION,SIDE_A_PERFORMER_ACTION,SIDE_A_NUMBER_OF_FIGURES,SIDE_A_COMPOSITION,SCENE_TYPE_B,MUSICAL_SCENE_TYPE_B,TRENDALL_DESCRIPTION_B,SIDE_B_DETAILS,SIDE_B_INSTRUMENTS_AND_NUMBERS,SIDE_B_PERFORMERS,SIDE_B_PERFORMER_LOCATION,SIDE_B_PERFORMER_ACTION,SIDE_B_NUMBER_OF_FIGURES,SIDE_B_COMPOSITION,IMAGE_IDS,NOTES,PUBLICATION,CATEGORY_1,CATEGORY_2,,,,,,
,Apulian,,Krater,Bell,385,360,Related to the Eton-Nika Painter,,,,Naples,MANN,3370,,04.95,6454-55,"THEATER, MYTHOLOGY","THEATER(KI), MYTHOLOGY(KI)","On a wooden stage, a phlyax with olive wreath on his head faces R and poses as if playing the kithara (even with plektron in R hand), next, a tripod in added white, then a palm tree, then another phlyax","On a wooden stage, a phlyax with olive wreath on his head faces R and poses as if playing the kithara (even with plektron in R hand), next, a tripod in added white, then a palm tree, then another phlyax",1_(KI),M(KI),L(TYM),STANDING(TYM),2_M,SINGLE,MANTLE FIGURES,,"Two mantle figures face one another, sticks to L, cross between heads","Two mantle figures face one another, sticks to L, cross between heads",,,,,2_M,SINGLE,"IMAG6454.jpg, IMAG6455.jpg",,,MTH,,,,,,,
,Apulian,,Krater,Volute,380,365,Subgroup of Ruvo 820 of the Long Overfalls Group,,,,St. Petersburg,Hermitage Museum,585 (St. 854),,04.140,6512-13,"MYTHOLOGICAL, BATTLE","MYTHOLOGICAL(SA), BATTLE(SA)","A Greek vs. other scene on two levels, above: a bearded Greek (with cuirass and crested helmet) on horseback with long spear moving R against a figure in Oscan costume, also on horseback, with spear; below, a nude youth with a petasos and traveler's cloak holding two spears and playing the salpinx, a Greek (?) warrior, bearded, with princess-cap helmet, spear, and shield facing R, a nude youth with fluttering cloak moving R with spear and shield contra another youth in Oscan costume (with mullet hairstyle) on horseback with spear/dagger","A Greek vs. other scene on two levels, above: a bearded Greek (with cuirass and crested helmet) on horseback with long spear moving R against a figure in Oscan costume, also on horseback, with spear; below, a nude youth with a petasos and traveler's cloak holding two spears and playing the salpinx, a Greek (?) warrior, bearded, with princess-cap helmet, spear, and shield facing R, a nude youth with fluttering cloak moving R with spear and shield contra another youth in Oscan costume (with mullet hairstyle) on horseback with spear/dagger",1_(SA),M(SA),MIDL(SA),STANDING(SA),"6_M,3_A",2_ROWS,PROCESSION (DIONYSIAC),"PROCESSION (DIONYSIAC)(TYM), PROCESSION (DIONYSIAC)(TYM), PROCESSION (DIONYSIAC)(TYM)","1.5 groundlines, effectively, with a lower, bearded satyr moving R towards a tambourine on the ground, a woman moving R with an upraised tambourine in her R hand, another bearded satyr moving R with kalathos and torch, another woman with hair semi-wrapped up moving R with upraised tambourine, and a youth with drapery over L arm moving R while holding thyrsos and kantharos, looking L, all wreathed","1.5 groundlines, effectively, with a lower, bearded satyr moving R towards a tambourine on the ground, a woman moving R with an upraised tambourine in her R hand, another bearded satyr moving R with kalathos and torch, another woman with hair semi-wrapped up moving R with upraised tambourine, and a youth with drapery over L arm moving R while holding thyrsos and kantharos, looking L, all wreathed",3_(TYM),"F(TYM),F(TYM),N/A(TYM)","UPL(TYM),MIDC(TYM),DOWNL(TYM)","WALKING(TYM),WALKING(TYM),N/A(TYM)","2_F,1_M,2_S",SINGLE,"IMAG6512.jpg, IMAG6513.jpg",,,MTH,,,,,,,
,Apulian,,Krater,Bell,380,365,York Group,,,,New York,Market (Royal Athena Galleries),HNH 24,,04.210b,6610-13,"ATTENDANT, MYTHOLOGICAL (?)","ATTENDANT(AU), ATTENDANT(CHYL), MYTHOLOGICAL (?)(AU), MYTHOLOGICAL (?)CHYL","A bearded satyr faces R and holds a wineskin or pipe bag in his lowered R hand and a set of auloi in his L (Marsyas?), a tree (laurel?) grows behind the knee of a youth with long hair, nude, seated facing L, holding chelys lyre by arm (shell-side shown) over some small stones and a palmette-like weed (Apollo?), a woman with short chiton, boots, hair entirely wrapped, jewelry, and two spears (Artemis) extends R arm with wreath over central nude figure's head","A bearded satyr faces R and holds a wineskin or pipe bag in his lowered R hand and a set of auloi in his L (Marsyas?), a tree (laurel?) grows behind the knee of a youth with long hair, nude, seated facing L, holding chelys lyre by arm (shell-side shown) over some small stones and a palmette-like weed (Apollo?), a woman with short chiton, boots, hair entirely wrapped, jewelry, and two spears (Artemis) extends R arm with wreath over central nude figure's head","1_(AU),1_(CHYL)","S(AU),M(CHYL)","L(AU),C(CHYL)","STANDING(AU),SEATED(CHYL)","1_F,1_M,1_S",SINGLE,MANTLE FIGURES,,"Three mantle figures with jumping weights between heads, central figure facing R and with stick, R figure with phi-wreath (?)","Three mantle figures with jumping weights between heads, central figure facing R and with stick, R figure with phi-wreath (?)",,,,,3_M,SINGLE,"IMAG6610.jpg, IMAG6611.jpg, IMAG6612.jpg, IMAG6613.jpg",,,MTH,,RVAp Supplement II.1,,,,,
,Apulian,,Pelike,,380,360,Painter of Reggio 7001,,,,St. Petersburg,Hermitage Museum,350 (St. 873),,04.257,6677-78,MYTHOLOGICAL (?),MYTHOLOGICAL (?)(PAN),"Herakles, Artemis, and Pan","A nude youth with bough under L arm and club in R hand, seated on a lion skin facing R (Herakles) looks at a woman facing L with vest over long dress, hair partially wrapped, wreath extended to L with R hand and two spears held in L behind and olive (?) tree sprig growing between; a medium-sized dog moves L, and a youth (pan?) faces L, leans against a stick/column, and holds pan pipes (syrinx) up in R hand",1_(PAN),M(PAN),R(PAN),LEANING(PAN),"1_F,2_M,1_A",SINGLE,ATTENDANT,,Seated athlete with two male attendants,"A youth with drapery over arms and stick in stands and looks R, a nude youth sides facing L with an aryballos extended to L and ribbon overhead, a mantled-youth with stick moves L",,,,,3_M,SINGLE,"IMAG6677.jpg, IMAG6678.jpg",,,MTH,,,,,,,
,Apulian,,Krater,Bell,370,350,Truro Painter,,,,Melbourne,Geddes Collection,A516,(Ex Sotheby's 10-11.12.84 364 FA 24627),05.1??,6756-57,MYTHOLOGICAL,"MYTHOLOGICAL(PAN), MYTHOLOGICAL(TYM)",Herakles and Nessos,"A complex composition, L-R: L lower shows a woman with long, flowing drapery, aegis, helmet, and spear (Athena) running to R with hand upraised, above her a horned, bearded satyr climbs up an incline (lower legs not shown), having hung his pan pipes on the egg and dart decorative motif above; in the centre, a nude youth with quiver and bough slung around shoulders/waist and wielding a club (Herakles) lifts a centaur (bearded, upside-down, white horse body) over his shoulder; lower R: a nude youth with cloak, petasos, fancy boots, and kerykion (Hermes) runs R and looks L, a woman with long dress and animal-skin corset runs L up a slope (lower legs not visible) holding a tambourine and a thyrsos","1_(PAN),1_(TYM)","N/A(PAN),F(TYM)","UPL(PAN),UPR(TYM)","N/A(PAN),WALKING(TYM)","2_F,2_M,1_S,1_CENT",RADIAL,PROCESSION (DIONYSIAC),PROCESSION (DIONYSIAC)(TYM),Dionysiac procession,"Three figures moving R, L-R: A youth with drapery over L arm and white headband carries a wreath and a thyrsos, below and centre a woman with two-tier dress and elaborate cross-body belt moves R, looks L, and carries a tambourine over her head, a nude youth with drapery over L arm and white headband carries a thyrsos R, grape bunches hang above",1_(TYM),F(TYM),C(TYM),WALKING(TYM),"1_F,2_M",SINGLE,"IMAG6756.jpg, IMAG6757.jpg",,,MTH,,Who knows?,,,,,
,Apulian,,Krater,Calyx,380,360,Dijon Painter,,,,Madrid,Museo Arqueológico Nacional,32651,,06.98,6883-85,RELIGIOUS,RELIGIOUS(TYM),"A satyr leads a goat to slaughter, holding a phiale over a blood-stained altar to the R, the scene is flanked by two figures, each holding a narthex, the L woman holding a tympanon and the R youth wrapped in a himation with chest exposed","A satyr leads a goat to slaughter, holding a phiale over a blood-stained altar to the R, the scene is flanked by two figures, each holding a narthex, the L woman holding a tympanon and the R youth wrapped in a himation with chest exposed",1_(TYM),F(TYM),L(TYM),STANDING(TYM),"1_F,1_M,1_S,1_A",SINGLE,MANTLE FIGURES (QUASI),,"two mantle figures flank a frontal-bodied nude youth with a stick and strigil, a small stele between the youth and mantle figure to the R and a window and jumping weights above","two mantle figures flank a frontal-bodied nude youth with a stick and strigil, a small stele between the youth and mantle figure to the R and a window and jumping weights above",,,,,3_M,SINGLE,"IMAG6883.jpg, IMAG6884.jpg, IMAG6885.jpg",,,MTH,DIO,,,,,,
,Apulian,,Krater,FRAG (Calyx?),400,380,Black Fury Painter,,,,New York,Metropolitan Museum of Art,"20.195, 20.196",,07.08,6999,MYTHOLOGICAL,,"1st fragment: the lower body of a nude youth with rich cloak and winged boots (Hermes) reaching R towards a seated, white-haired male with eastern dress (Priam), rich, patterned fabrics, facing R with head down, column behind (tent of Achilles?)","1st fragment: the lower body of a nude youth with rich cloak and winged boots (Hermes) reaching R towards a seated, white-haired male with eastern dress (Priam), rich, patterned fabrics, facing R with head down, column behind (tent of Achilles?)",,,,,2_M,?,MYTHOLOGICAL,MYTHOLOGICAL(KI),"2nd fragment: part of a seated woman with richly-patterned dress facing R (Artemis?), with a male with long hair and laurel wreath (Apollo?), wearing a richly-patterned dress with mantle, holds an added-white kithara with L hand to the strings, plektron (?) in R hand, looks to L and down","2nd fragment: part of a seated woman with richly-patterned dress facing R (Artemis?), with a male with long hair and laurel wreath (Apollo?), wearing a richly-patterned dress with mantle, holds an added-white kithara with L hand to the strings, plektron (?) in R hand, looks to L and down",1_(KI),M(KI),?(KI),STANDING(KI),"1_F,1_M",?,IMAG6999.jpg,,,MTH,FUN,,,,,,
,Apulian,,Skyphos,FRAG,400,380,connected to the Black Fury Painter,,,,Heidelberg,Universitätsmuseum,26.9,,07.20,7003-04,MYTHOLOGICAL,MYTHOLOGICAL(KI),"A male with Persian cap and cross-chest belt and ray-patterned waist belt looks R, moves L, holds the arm of a RF kithara with small sound box, the other arm of the kithara is held by another hand, and yet another hand reaches towards the figure's drapery below the kithara – 'death of Orpheus'","A male with Persian cap and cross-chest belt and ray-patterned waist belt looks R, moves L, holds the arm of a RF kithara with small sound box, the other arm of the kithara is held by another hand, and yet another hand reaches towards the figure's drapery below the kithara – 'death of Orpheus'",1_(KI),?(KI),?(KI),?(KI),1_M,?,,,,,,,,,,,"IMAG7003.jpg, IMAG7004.jpg",,,MTH,FUN,,,,,,
,Apulian,,FRAG,,400,380,connected to the Black Fury Painter,,,,Rome,ex Curtius Collection,,,07.24,7005,"DIONYSIAC, MYTHOLOGICAL (?)","DIONYSIAC(TYM), MYTHOLOGICAL (?)(TYM)","A woman with torch to L, a central woman with R breast exposed, facing R, holding tambourine close to body with draped L arm and beating it with L hand, a vine, and another woman with animal-skin corset facing L above","A woman with torch to L, a central woman with R breast exposed, facing R, holding tambourine close to body with draped L arm and beating it with L hand, a vine, and another woman with animal-skin corset facing L above",1_(TYM),F(TYM),?(TYM),STANDING(TYM),3_F,?,,,,,,,,,,,IMAG7005.jpg,,,MTH,,,,,,,
,Apulian,,Krater,Volute (FRAG),400,380,connected to the Black Fury Painter,,,,Taranto,MARTA,127081,Taranto,07.29,7007-15,MYTHOLOGICAL,MYTHOLOGICAL(PAN),"Fragmentary: on the neck, Pelops and Oinomaos in quadrigae moving opposite; on the body, the theft of the palladion: a nude youth leaning on a stele and holding pan pipes above a nike figure facing R towards a bearded male with cloak and scabbard holding the palladion and pushing to the R a woman with short chiton, boots, and cross-body belt, winged something-or-other above, then a building/naiskos with four ionic columns and two doors singing open inwards, through which walks a nude youth with drapery over L arm and holding a spear, turning head to R to look back, then to the upper R a woman in long, patterned dress with hair back-veiled holds a cross-torch, next to another woman with long, patterned dress, mantle, crown, and veil who holds a scepter (candy-cane decoration and Ionic top) and tugs at veil and faces L, below a nude youth with cloak moves R","Fragmentary: on the neck, Pelops and Oinomaos in quadrigae moving opposite; on the body, the theft of the palladion: a nude youth leaning on a stele and holding pan pipes above a nike figure facing R towards a bearded male with cloak and scabbard holding the palladion and pushing to the R a woman with short chiton, boots, and cross-body belt, winged something-or-other above, then a building/naiskos with four ionic columns and two doors singing open inwards, through which walks a nude youth with drapery over L arm and holding a spear, turning head to R to look back, then to the upper R a woman in long, patterned dress with hair back-veiled holds a cross-torch, next to another woman with long, patterned dress, mantle, crown, and veil who holds a scepter (candy-cane decoration and Ionic top) and tugs at veil and faces L, below a nude youth with cloak moves R",1_(PAN),M(PAN),UPL(PAN),LEANING(PAN),"3_F,4_M,1_N,4_A",RADIAL,MYTHOLOGICAL,MYTHOLOGICAL(SA),"Fragmentary amazonomachy, L-R: A woman in short chiton with swastika on back holds a spear and plays the salpinx to the R, a nude youth with spear, cloak, and shield stands facing R contra a woman with PJ pants, boots, short chiton with swastika on back, and Persian helmet riding a horse to the L, then another figure with patterned PJ pants and short chiton and Persian helmet carries two spears and a shield and raises R hand with a rock (?) and moves L, all above a woman (?) in short chiton lunging to R, small stones below, then a youth with pointed helmet, cloak, spear, and shield moves R contra a (v. fragmentary) figure with patterned PJ pants, short chiton, and Persian cap holding a shield and either holding or fallen on a spear","Fragmentary amazonomachy, L-R: A woman in short chiton with swastika on back holds a spear and plays the salpinx to the R, a nude youth with spear, cloak, and shield stands facing R contra a woman with PJ pants, boots, short chiton with swastika on back, and Persian helmet riding a horse to the L, then another figure with patterned PJ pants and short chiton and Persian helmet carries two spears and a shield and raises R hand with a rock (?) and moves L, all above a woman (?) in short chiton lunging to R, small stones below, then a youth with pointed helmet, cloak, spear, and shield moves R contra a (v. fragmentary) figure with patterned PJ pants, short chiton, and Persian cap holding a shield and either holding or fallen on a spear",1_(SA),F(SA),UPL(SA),STANDING(SA),"5_F,2_M,1_A",2 ROWS,"IMAG7007.jpg, IMAG7008.jpg, IMAG7009.jpg, IMAG7010.jpg, IMAG7011.jpg, IMAG7012.jpg, IMAG7013.jpg, IMAG7014.jpg, IMAG7015.jpg",,,MTH,FUN,,,,,,
